price,area,price_per_sqft,location,bhk,resale,furnished,school,security,carparking,hospital,playarea,liftavailable,vaastucompliant
46.19,1062,4349.340866290019,Horamavu,2,0,0,0,1,0,0,1,1,1
47.85,1100,4350.0,Horamavu,2,0,0,0,1,0,0,1,1,1
49.72,1143,4349.956255468066,Horamavu,2,0,0,0,1,0,0,1,1,1
47.37,1089,4349.862258953168,Horamavu,2,0,0,0,1,0,0,1,1,1
48.54,1116,4349.462365591397,Horamavu,2,0,0,0,1,0,0,1,1,1
283.0,3033,9330.695680844048,Banashankari,4,0,0,0,1,1,0,1,1,0
214.0,2378,8999.158957106813,Banashankari,3,0,0,0,1,1,0,1,1,0
235.0,2522,9318.001586042823,Banashankari,3,0,0,0,1,1,0,1,1,0
299.0,3205,9329.173166926677,Banashankari,4,0,0,0,1,1,0,1,1,0
92.0,1376,6686.046511627907,RR Nagar,2,0,0,0,1,1,0,1,1,1
80.0,1168,6849.315068493151,RR Nagar,2,0,0,0,1,1,0,1,1,1
92.0,1373,6700.655498907502,RR Nagar,2,0,0,0,1,1,0,1,1,1
93.0,1376,6758.720930232558,RR Nagar,2,0,0,0,1,1,0,1,1,1
79.0,1168,6763.698630136986,RR Nagar,2,0,0,0,1,1,0,1,1,1
91.0,1373,6627.822286962855,RR Nagar,2,0,0,0,1,1,0,1,1,1
90.0,1373,6554.9890750182085,RR Nagar,2,0,0,0,1,1,0,1,1,1
79.0,1160,6810.3448275862065,RR Nagar,2,0,0,0,1,1,0,1,1,1
78.0,1160,6724.137931034483,RR Nagar,2,0,0,0,1,1,0,1,1,1
91.0,1376,6613.372093023256,RR Nagar,2,0,0,0,1,1,0,1,1,1
90.0,1373,6554.9890750182085,RR Nagar,2,0,0,0,1,1,0,1,1,1
88.0,1373,6409.322651128915,RR Nagar,2,0,0,0,1,1,0,1,1,1
39.9,1140,3500.0,Kengeri,3,0,0,0,0,1,0,1,1,0
40.21,1149,3499.5648389904263,Kengeri,3,0,0,0,0,1,0,1,1,0
40.88,1168,3500.0000000000005,Kengeri,3,0,0,0,0,1,0,1,1,0
90.6,1275,7105.882352941177,Begur,2,0,0,0,1,0,0,0,1,1
86.44,1210,7143.801652892562,Begur,2,0,0,0,1,0,0,0,1,1
88.36,1240,7125.806451612903,Begur,2,0,0,0,1,0,0,0,1,1
102.0,1450,7034.482758620689,Begur,3,0,0,0,1,0,0,0,1,1
85.28,1192,7154.362416107382,Begur,2,0,0,0,1,0,0,0,1,1
85.16,1190,7156.302521008403,Begur,2,0,0,0,1,0,0,0,1,1
88.04,1235,7128.744939271255,Begur,2,0,0,0,1,0,0,0,1,1
99.1,1400,7078.571428571428,Begur,3,0,0,0,1,0,0,0,1,1
76.34,1606,4753.424657534247,Ramamurthy Nagar,3,0,0,0,1,0,0,0,1,0
59.7,1239,4818.401937046005,Ramamurthy Nagar,2,0,0,0,1,0,0,0,1,0
76.75,1615,4752.321981424148,Ramamurthy Nagar,3,0,0,0,1,0,0,0,1,0
57.02,1180,4832.203389830508,Ramamurthy Nagar,2,0,0,0,1,0,0,0,1,0
62.1,1292,4806.5015479876165,Ramamurthy Nagar,2,0,0,0,1,0,0,0,1,0
25.2,900,2800.0,Attibele,2,0,0,0,1,0,0,1,1,0
33.04,1180,2800.0,Attibele,3,0,0,0,1,0,0,1,1,0
30.1,1075,2800.0,Attibele,3,0,0,0,1,0,0,1,1,0
28.0,1000,2800.0,Attibele,2,0,0,0,1,0,0,1,1,0
24.64,880,2800.0,Attibele,2,0,0,0,1,0,0,1,1,0
55.57,1185,4689.451476793249,Kadugodi,2,0,0,0,1,0,0,1,0,0
119.0,2540,4685.03937007874,Kadugodi,3,0,0,0,1,0,0,1,0,0
77.38,1650,4689.69696969697,Kadugodi,3,0,0,0,1,0,0,1,0,0
63.54,1355,4689.29889298893,Kadugodi,2,0,0,0,1,0,0,1,0,0
28.14,600,4690.0,Kadugodi,1,0,0,0,1,0,0,1,0,0
54.63,1165,4689.270386266095,Kadugodi,2,0,0,0,1,0,0,1,0,0
74.56999,1590,4689.936477987421,Kadugodi,3,0,0,0,1,0,0,1,0,0
54.16,1155,4689.177489177489,Kadugodi,2,0,0,0,1,0,0,1,0,0
117.0,2495,4689.37875751503,Kadugodi,3,0,0,0,1,0,0,1,0,0
56.04,1195,4689.539748953975,Kadugodi,2,0,0,0,1,0,0,1,0,0
71.75,1530,4689.5424836601305,Kadugodi,3,0,0,0,1,0,0,1,0,0
